Filename, Number of Infected, Total Number, Infection Percentage
Verilog3/Infected/Inf_gate_level_1230_in32_out16_gates35.v, 3300, 56274, 0.058641646230941466
Verilog3/Infected/Inf_gate_level_990_in16_out16_gates53.v, 2825, 73889, 0.03823302521349592
Verilog3/Infected/Inf_gate_level_1473_in64_out16_gates20.v, 3047, 38817, 0.07849653502331452
Verilog3/Infected/Inf_gate_level_1187_in32_out8_gates40.v, 3014, 53071, 0.05679184488703812
Verilog3/Infected/Inf_gate_level_542_in8_out2_gates27.v, 2928, 33181, 0.08824327175190622
Verilog3/Infected/Inf_gate_level_1161_in32_out8_gates14.v, 2945, 24594, 0.11974465316743921
Verilog3/Infected/Inf_gate_level_728_in8_out16_gates49.v, 3099, 71040, 0.04362331081081081
Verilog3/Infected/Inf_gate_level_915_in16_out8_gates26.v, 3108, 37181, 0.08359108146634034
Verilog3/Infected/Inf_gate_level_710_in8_out16_gates31.v, 2851, 49965, 0.05705994195937156
Verilog3/Infected/Inf_gate_level_1341_in64_out2_gates52.v, 2151, 59934, 0.0358894784262689
Verilog3/Infected/Inf_gate_level_484_in4_out16_gates63.v, 3176, 86168, 0.03685823043357163
Verilog3/Infected/Inf_gate_level_837_in16_out4_gates4.v, 3159, 10379, 0.3043645823297042
Verilog3/Infected/Inf_gate_level_1425_in64_out8_gates20.v, 3030, 31558, 0.09601368908042335
Verilog3/Infected/Inf_gate_level_152_in2_out8_gates37.v, 3139, 51644, 0.06078150414375339
Verilog3/Infected/Inf_gate_level_1359_in64_out4_gates10.v, 3137, 17303, 0.18129804080217304
Verilog3/Infected/Inf_gate_level_122_in2_out4_gates63.v, 6326, 79243, 0.079830395113764
Verilog3/Infected/Inf_gate_level_1305_in64_out2_gates16.v, 2996, 21454, 0.13964761815978372
Verilog3/Infected/Inf_gate_level_1125_in32_out4_gates34.v, 3086, 42774, 0.07214663113106093
Verilog3/Infected/Inf_gate_level_1010_in16_out32_gates41.v, 2184, 75278, 0.02901246047982146
Verilog3/Infected/Inf_gate_level_1140_in32_out4_gates49.v, 4035, 59877, 0.0673881456986823
Verilog3/Infected/Inf_gate_level_1267_in32_out32_gates40.v, 2945, 77084, 0.03820507498313528
Verilog3/Infected/Inf_gate_level_94_in2_out4_gates35.v, 2103, 44388, 0.04737766964044336
Verilog3/Infected/Inf_gate_level_592_in8_out4_gates17.v, 3082, 23924, 0.12882461126901856
Verilog3/Infected/Inf_gate_level_1400_in64_out4_gates51.v, 3179, 61551, 0.05164822667381521
Verilog3/Infected/Inf_gate_level_268_in4_out2_gates11.v, 3231, 16821, 0.1920813269127876
Verilog3/Infected/Inf_gate_level_1132_in32_out4_gates41.v, 1951, 49019, 0.03980089353107979
Verilog3/Infected/Inf_gate_level_177_in2_out8_gates62.v, 3120, 77877, 0.040063176547632806
Verilog3/Infected/Inf_gate_level_1335_in64_out2_gates46.v, 3152, 54451, 0.05788690749481185
Verilog3/Infected/Inf_gate_level_1144_in32_out4_gates53.v, 2835, 63762, 0.04446221887644679
Verilog3/Infected/Inf_gate_level_795_in16_out2_gates22.v, 2087, 27213, 0.07669128725241613
Verilog3/Infected/Inf_gate_level_833_in16_out2_gates60.v, 2023, 67426, 0.030003262836294606
Verilog3/Infected/Inf_gate_level_23_in2_out2_gates24.v, 2765, 31692, 0.08724599267954058
Verilog3/Infected/Inf_gate_level_559_in8_out2_gates44.v, 2926, 50758, 0.05764608534615233
Verilog3/Infected/Inf_gate_level_667_in8_out8_gates36.v, 2986, 48138, 0.06202999709169471
Verilog3/Infected/Inf_gate_level_317_in4_out2_gates60.v, 3128, 71128, 0.04397705544933078
Verilog3/Infected/Inf_gate_level_57_in2_out2_gates58.v, 2068, 67618, 0.03058357242154456
Verilog3/Infected/Inf_gate_level_462_in4_out16_gates41.v, 2220, 63257, 0.035094930205352766
Verilog3/Infected/Inf_gate_level_840_in16_out4_gates7.v, 3066, 13595, 0.22552408973887458
Verilog3/Infected/Inf_gate_level_1371_in64_out4_gates22.v, 2944, 29801, 0.09878863125398477
Verilog3/Infected/Inf_gate_level_632_in8_out4_gates57.v, 3015, 67585, 0.04461049049345269
Verilog3/Infected/Inf_gate_level_715_in8_out16_gates36.v, 3156, 55057, 0.057322411319178306
Verilog3/Infected/Inf_gate_level_1506_in64_out16_gates53.v, 2961, 74000, 0.04001351351351351
Verilog3/Infected/Inf_gate_level_1064_in32_out2_gates33.v, 2007, 38982, 0.05148530090811144
Verilog3/Infected/Inf_gate_level_1432_in64_out8_gates27.v, 3311, 39561, 0.08369353656378757
Verilog3/Infected/Inf_gate_level_1071_in32_out2_gates40.v, 2174, 46245, 0.04701048762028327
Verilog3/Infected/Inf_gate_level_282_in4_out2_gates25.v, 2235, 32219, 0.06936900586610385
Verilog3/Infected/Inf_gate_level_1352_in64_out2_gates63.v, 2963, 72931, 0.040627442377041315
Verilog3/Infected/Inf_gate_level_539_in8_out2_gates24.v, 3063, 30884, 0.09917756767258128
Verilog3/Infected/Inf_gate_level_124_in2_out8_gates9.v, 3255, 20559, 0.15832482124616956
Verilog3/Infected/Inf_gate_level_339_in4_out4_gates22.v, 3041, 30681, 0.09911671718653238
Verilog3/Infected/Inf_gate_level_689_in8_out8_gates58.v, 3040, 72247, 0.042077871745539605
Verilog3/Infected/Inf_gate_level_1532_in64_out32_gates47.v, 2868, 85029, 0.033729668701266625
Verilog3/Infected/Inf_gate_level_334_in4_out4_gates17.v, 2245, 24200, 0.09276859504132232
Verilog3/Infected/Inf_gate_level_1477_in64_out16_gates24.v, 6124, 44978, 0.1361554537774023
Verilog3/Infected/Inf_gate_level_236_in2_out32_gates41.v, 2209, 79786, 0.027686561552152007
Verilog3/Infected/Inf_gate_level_146_in2_out8_gates31.v, 3217, 44482, 0.07232138842677938
Verilog3/Infected/Inf_gate_level_371_in4_out4_gates54.v, 1976, 64665, 0.030557488595066882
Verilog3/Infected/Inf_gate_level_1282_in32_out32_gates55.v, 1978, 93154, 0.021233656096356572
Verilog3/Infected/Inf_gate_level_1467_in64_out8_gates62.v, 1922, 76127, 0.02524728414360214
Verilog3/Infected/Inf_gate_level_1509_in64_out16_gates56.v, 3223, 79002, 0.040796435533277636
Verilog3/Infected/Inf_gate_level_1260_in32_out32_gates33.v, 1992, 67866, 0.029351958270709928
Verilog3/Infected/Inf_gate_level_1355_in64_out4_gates6.v, 2944, 12729, 0.23128289732107785
Verilog3/Infected/Inf_gate_level_777_in16_out2_gates4.v, 2872, 8063, 0.3561949646533548
Verilog3/Infected/Inf_gate_level_627_in8_out4_gates52.v, 5171, 63115, 0.08192981066307534
Verilog3/Infected/Inf_gate_level_924_in16_out8_gates35.v, 1971, 46773, 0.042139695978449104
