Filename, Number of Infected, Total Number, Infection Percentage
NORVerilog3/Infected/Inf_gate_level_798_NOR.v, 8855, 89860, 0.09854217671934119
NORVerilog3/Infected/Inf_gate_level_872_NOR.v, 13939, 125899, 0.11071573245220374
NORVerilog3/Infected/Inf_gate_level_1499_NOR.v, 9909, 176043, 0.05628738433223701
NORVerilog3/Infected/Inf_gate_level_26_NOR.v, 11824, 117218, 0.10087187974543159
NORVerilog3/Infected/Inf_gate_level_119_NOR.v, 6589, 219281, 0.030048202990683188
NORVerilog3/Infected/Inf_gate_level_808_NOR.v, 9124, 120135, 0.07594789195488409
NORVerilog3/Infected/Inf_gate_level_598_NOR.v, 13258, 78875, 0.16808874801901744
NORVerilog3/Infected/Inf_gate_level_1133_NOR.v, 13141, 161013, 0.08161452801947669
NORVerilog3/Infected/Inf_gate_level_1218_NOR.v, 12419, 104399, 0.11895707813293231
NORVerilog3/Infected/Inf_gate_level_1253_NOR.v, 5632, 223873, 0.025157120331616586
NORVerilog3/Infected/Inf_gate_level_725_NOR.v, 13482, 181990, 0.07408099346117919
NORVerilog3/Infected/Inf_gate_level_499_NOR.v, 5323, 204421, 0.02603939908326444
NORVerilog3/Infected/Inf_gate_level_434_NOR.v, 11723, 210692, 0.05564046095722666
NORVerilog3/Infected/Inf_gate_level_490_NOR.v, 6612, 162132, 0.04078158537487973
NORVerilog3/Infected/Inf_gate_level_760_NOR.v, 7621, 198320, 0.0384277934651069
NORVerilog3/Infected/Inf_gate_level_1168_NOR.v, 5502, 87200, 0.06309633027522936
NORVerilog3/Infected/Inf_gate_level_1006_NOR.v, 6891, 160506, 0.04293297446824418
NORVerilog3/Infected/Inf_gate_level_766_NOR.v, 6776, 229346, 0.029544879788616328
NORVerilog3/Infected/Inf_gate_level_107_NOR.v, 13314, 176162, 0.07557816101088771
NORVerilog3/Infected/Inf_gate_level_727_NOR.v, 11337, 202079, 0.05610182156483356
NORVerilog3/Infected/Inf_gate_level_815_NOR.v, 4756, 126330, 0.03764743133064197
NORVerilog3/Infected/Inf_gate_level_152_NOR.v, 9884, 152691, 0.06473204052629167
NORVerilog3/Infected/Inf_gate_level_763_NOR.v, 12923, 211945, 0.06097336573167567
NORVerilog3/Infected/Inf_gate_level_141_NOR.v, 7984, 115111, 0.06935914030805049
NORVerilog3/Infected/Inf_gate_level_1423_NOR.v, 8952, 60452, 0.14808443062264276
NORVerilog3/Infected/Inf_gate_level_1199_NOR.v, 7715, 193229, 0.03992671907425904
NORVerilog3/Infected/Inf_gate_level_4_NOR.v, 13376, 27764, 0.48177496038034867
NORVerilog3/Infected/Inf_gate_level_419_NOR.v, 12565, 186880, 0.06723565924657535
NORVerilog3/Infected/Inf_gate_level_72_NOR.v, 9018, 63598, 0.14179691185257398
NORVerilog3/Infected/Inf_gate_level_534_NOR.v, 7827, 62282, 0.12567033813943032
NORVerilog3/Infected/Inf_gate_level_129_NOR.v, 5346, 58440, 0.09147843942505134
NORVerilog3/Infected/Inf_gate_level_1093_NOR.v, 7681, 224730, 0.034178792328572065
NORVerilog3/Infected/Inf_gate_level_1236_NOR.v, 7883, 169175, 0.04659671937342988
NORVerilog3/Infected/Inf_gate_level_638_NOR.v, 10581, 226918, 0.046629178822305856
NORVerilog3/Infected/Inf_gate_level_687_NOR.v, 12042, 193949, 0.06208848717961939
NORVerilog3/Infected/Inf_gate_level_204_NOR.v, 7598, 188521, 0.04030320229576546
NORVerilog3/Infected/Inf_gate_level_359_NOR.v, 10571, 149274, 0.07081608317590471
NORVerilog3/Infected/Inf_gate_level_1459_NOR.v, 12990, 210985, 0.06156835794013792
NORVerilog3/Infected/Inf_gate_level_418_NOR.v, 4455, 170397, 0.02614482649342418
NORVerilog3/Infected/Inf_gate_level_651_NOR.v, 13329, 80382, 0.16582070612823765
NORVerilog3/Infected/Inf_gate_level_366_NOR.v, 8859, 180510, 0.04907761342861891
NORVerilog3/Infected/Inf_gate_level_1259_NOR.v, 12490, 142733, 0.08750604275115074
